,Cookware,Dietary,protiens,fruit,veggies,dairy,wheat,, links
Chicken dumplings,Oven,peanut free,chicken,,"onions,","butter, heavy cream",flour,,https://tasty.co/recipe/cozy-chicken-and-dumplings
Chicken Parmesan Meatballs,stove top,"halal, peanut free","egg, chicken",,,"parmesean, mozzarella ",bread crumbs,,https://www.allrecipes.com/recipe/8543745/chicken-parmesan-meatballs/
One-Pot Garlic Parmesan Pasta,pot,peanut free,,,,"milk,parmesan,butter",,,https://tasty.co/recipe/one-pot-garlic-parmesan-pasta
Taco Soup,pot,peanut free,"beef, beans",,onions.peppers,,,,https://themodernproper.com/taco-soup
Lasagna Soup,pot,peanut free,,,,"mozzerlla, parmesan",pasta,,https://themodernproper.com/lasagna-soup
Stuffed Pepper Soup,pot,peanut free,beef,,"peppers, onion",pepper jack cheese,rice,,https://themodernproper.com/stuffed-pepper-soup
Venison Bourguignon,pot,"kosher, peanut free","venison, pork",,onion,butter,flour,,https://www.aspicyperspective.com/venison-bourguignon/
Fried Pork Chops,skillet,"kosher, peanut free,dairy free",pork,,,,flour,,https://spaceshipsandlaserbeams.com/fried-pork-chops/
Pork Tenderloin with Peaches,skillet,"peanut free,dairy free,gluten free",pork,peaches,onion,,,,https://www.allrecipes.com/recipe/8420615/pork-tenderloin-with-peaches/
Garlic Butter Pork Bites with Lemon Green Beans,skillet,"kosher, gluten free",pork,,string breans,,,,https://www.eatwell101.com/garlic-butter-pork-bites-recipe
Sausage and Egg Sandwiches,skillet,"peanut free, gluten free","pork,egg",,"onion, pepper",cheddar cheese,,,https://www.goodhousekeeping.com/food-recipes/easy/a39412499/sausage-and-egg-sandwiches-recipe/
BAKED EGG BOATS,oven,peanut free,"pork, egg",,,heavy cream,bread,,https://www.spoonforkbacon.com/baked-egg-boats/
"Easy, Ultimate Breakfast Frittata","oven, skillet","peanut free, dairy free","egg,pork",,pepper,,,,https://houseofnasheats.com/easy-ultimate-breakfast-frittata/
HOMEMADE BAKED BEANS (VEGAN),pot,"peanut free, dairy free, vegan, kosher, halal, gluten",beans,,onion,,,,https://supperinthesuburbs.com/2021/01/10/homemade-baked-beans-vegan/
Easy Vegetarian Chili,pot,"peanut free, dairy free, vegan, kosher, halal, gluten",beans,,"onions,pepper",,,,https://www.loveandlemons.com/vegetarian-chili-recipe/
Easy Candied Almonds,oven,"vegetarian, kosher, dairy free, halal","nuts, egg",,,,,,https://www.savorynothings.com/sugar-glazed-almonds/
Homemade Spicy Nuts in 20 Minutes,oven,"vegan, kosher, dairy free, halal",nuts,,,,,,https://realsimplegood.com/spicy-nuts/
"Sweet, Salty, Spicy Party Nuts",oven,"vegetarian, kosher ,halal",nuts,,,,,,https://www.allrecipes.com/recipe/230159/sweet-salty-spicy-party-nuts/
pesto salmon,oven,"kosger, halal gluten free, dairy fre","nuts, salmon",,,,,,https://www.acouplecooks.com/pesto-salmon/
Honey Garlic Glazed Salmon,"oven, skillet","kosher, halal, gluten free, ",salmon,,,butter,,,https://www.thechunkychef.com/honey-garlic-glazed-salmon/
Garlic Butter Baked Salmon Recipe,oven,"kosher, halal, gluten free,  peanut free",salmon,,,butter,,,https://www.primaverakitchen.com/garlic-butter-salmon-in-foil-recipe/
Bang Bang Shrimp,oven,"kosher, halal, gluten free,  peanut free",shrimp,,,,,,https://insanelygoodrecipes.com/bang-bang-shrimp/
Quick & Healthy Dinner: 20 Minute Honey Garlic Shrimp,"skillet,stove top","kosher, halal, gluten free, dairy free",shrimp,,,,,,https://sallysbakingaddiction.com/quick-healthy-dinner-20-minute-honey-garlic-shrimp/
creamy garlic shrimp with parmesan,"stove top, skillet","kosher,gluten free, peanut free",shrimp,,,"butter, parmesan",,,https://cafedelites.com/creamy-garlic-shrimp/
Vegan Buffalo Tofu Wings,oven,"kosher,gluten free, peanut free, dairy free, vegan",tofu,,,,bread crumbs,,https://shaneandsimple.com/vegan-buffalo-tofu-wings/
